,bowler,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024
151,Ramandeep Singh,0,6,0,0,0.0,41.0,0.0,4.0,0.0,61.0,0.0,9.0
152,Rashid Khan,14,19,27,10,293.0,386.0,407.0,262.0,366.0,442.0,567.0,377.0
153,Rasikh Salam,0,0,0,9,0.0,24.0,0.0,156.0,0.0,28.0,0.0,282.0
154,Ravi Bishnoi,12,13,16,10,220.0,340.0,312.0,270.0,255.0,484.0,406.0,393.0
155,S Dube,0,0,0,1,25.0,14.0,0.0,6.0,38.0,46.0,0.0,14.0
156,S Gopal,0,1,0,3,24.0,18.0,0.0,42.0,44.0,34.0,0.0,67.0
157,S Kaul,7,0,0,0,181.0,24.0,0.0,0.0,260.0,43.0,0.0,0.0
158,S Sandeep Warrier,0,0,0,6,12.0,0.0,0.0,70.0,15.0,0.0,0.0,129.0
159,SA Abbott,0,1,0,0,0.0,27.0,0.0,0.0,0.0,50.0,0.0,0.0
160,SH Johnson,0,0,0,4,0.0,0.0,0.0,99.0,0.0,0.0,0.0,162.0
161,SM Curran,9,0,10,16,197.0,0.0,299.0,254.0,323.0,0.0,517.0,436.0
162,SN Thakur,19,15,7,5,364.0,315.0,132.0,197.0,509.0,527.0,230.0,328.0
163,SP Narine,16,9,11,17,344.0,342.0,296.0,334.0,385.0,333.0,404.0,389.0
164,SSB Magala,0,0,1,0,0.0,0.0,37.0,0.0,0.0,0.0,54.0,0.0
165,Sandeep Sharma,3,2,10,13,127.0,126.0,290.0,236.0,174.0,166.0,414.0,325.0
166,Shahbaz Ahmed,4,4,1,7,66.0,220.0,42.0,166.0,71.0,356.0,95.0,285.0
167,Shakib Al Hasan,2,0,0,0,109.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0
168,Shashank Singh,0,0,0,1,0.0,13.0,0.0,6.0,0.0,21.0,0.0,5.0
169,Shivam Mavi,11,5,0,0,204.0,142.0,0.0,0.0,262.0,241.0,0.0,0.0
170,Sikandar Raza,0,0,3,0,0.0,0.0,76.0,12.0,0.0,0.0,137.0,22.0
171,Simarjeet Singh,0,4,0,5,0.0,113.0,0.0,80.0,0.0,157.0,0.0,131.0
172,Suyash Sharma,0,0,10,0,0.0,0.0,239.0,25.0,0.0,0.0,344.0,52.0
173,Swapnil Singh,0,0,0,6,0.0,0.0,12.0,92.0,0.0,0.0,18.0,135.0
174,T Natarajan,0,18,10,19,0.0,272.0,276.0,332.0,0.0,433.0,428.0,497.0
175,T Stubbs,0,0,1,3,0.0,0.0,12.0,13.0,0.0,0.0,14.0,16.0
176,TA Boult,10,16,13,16,267.0,387.0,235.0,333.0,356.0,529.0,332.0,471.0
177,TG Southee,3,14,2,0,74.0,220.0,36.0,0.0,97.0,303.0,79.0,0.0
178,TK Curran,3,0,0,0,24.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
179,TS Mills,0,6,0,0,0.0,107.0,0.0,0.0,0.0,200.0,0.0,0.0
180,TU Deshpande,0,1,21,17,0.0,43.0,368.0,310.0,0.0,72.0,623.0,469.0
181,UT Yadav,0,16,1,8,0.0,297.0,116.0,129.0,0.0,378.0,193.0,215.0
182,Umran Malik,2,22,5,0,75.0,313.0,124.0,7.0,99.0,492.0,231.0,16.0
183,V Kaverappa,0,0,0,2,0.0,0.0,0.0,24.0,0.0,0.0,0.0,36.0
184,V Shankar,3,0,0,0,66.0,10.0,0.0,0.0,93.0,16.0,0.0,0.0
185,V Viyaskanth,0,0,0,1,0.0,0.0,0.0,60.0,0.0,0.0,0.0,94.0
186,VG Arora,0,3,5,11,0.0,110.0,107.0,201.0,0.0,169.0,164.0,313.0
187,VR Aaron,0,2,0,0,0.0,33.0,0.0,0.0,0.0,57.0,0.0,0.0
188,VR Iyer,3,0,0,0,54.0,24.0,0.0,6.0,76.0,46.0,0.0,28.0
189,Vijaykumar Vyshak,0,0,9,4,0.0,0.0,153.0,90.0,0.0,0.0,262.0,147.0
190,WD Parnell,0,0,9,0,0.0,0.0,157.0,0.0,0.0,0.0,244.0,0.0
191,WG Jacks,0,0,0,2,0.0,0.0,0.0,55.0,0.0,0.0,0.0,102.0
192,Washington Sundar,2,6,3,1,79.0,170.0,106.0,30.0,101.0,242.0,146.0,73.0
193,YS Chahal,18,27,21,18,274.0,429.0,326.0,362.0,322.0,566.0,445.0,565.0
194,Yash Dayal,0,11,2,15,0.0,205.0,88.0,322.0,0.0,309.0,169.0,510.0
195,Yash Thakur,0,0,13,11,0.0,0.0,207.0,225.0,0.0,0.0,321.0,420.0
196,Yudhvir Singh,0,0,3,1,0.0,0.0,50.0,24.0,0.0,0.0,82.0,52.0
