,striker,runs_1,runs_2,balls_faced_1,balls_faced_2,strike_rate_1,strike_rate_2,total_runs,total_balls,total_strike_rate,bowler,wickets_1,wickets_2,total_wickets
731,Yuvraj Singh,1510,1240,1131,1074,133.5101679929266,115.45623836126629,2754,2207,124.78477571363842,Yuvraj Singh,16,20,36
277,JO Holder,108,151,88,129,122.72727272727273,117.05426356589147,259,217,119.35483870967742,JO Holder,34,19,53
372,MA Starc,44,61,53,56,83.01886792452831,108.92857142857142,105,109,96.33027523,MA Starc,32,19,51
461,P Negi,246,119,192,109,128.125,109.1743119266055,365,301,121.26245847176081,P Negi,15,19,34
8,A Kumble,11,24,16,33,68.75,72.72727272727273,35,49,71.42857142857143,A Kumble,27,18,45
354,M Kartik,78,35,73,36,106.84931506849315,97.22222222222221,113,109,103.6697247706422,M Kartik,13,18,31
421,Mohsin Khan,15,10,7,20,214.28571428571428,50,25,27,92.59259259,Mohsin Khan,9,18,27
476,PJ Sangwan,14,12,24,23,58.333333333333336,52.17391304347826,26,47,55.319148936170215,PJ Sangwan,20,18,38
487,PWH de Silva,35,37,48,32,72.91666666666666,115.625,72,80,90,PWH de Silva,17,18,35
494,R Dhawan,118,92,86,102,137.2093023255814,90.19607843137256,210,188,111.70212765957446,R Dhawan,7,18,25
506,R Sharma,40,26,36,41,111.11111111111111,63.41463414634146,66,77,85.71428571428571,R Sharma,22,18,40
596,SK Raina,3194,2334,2422,1752,131.87448389760527,133.2191780821918,5536,4177,132.53531242518554,SK Raina,7,18,25
28,AB Agarkar,117,62,98,62,119.38775510204083,100,179,160,111.87499999999999,AB Agarkar,12,17,29
106,BA Stokes,351,584,306,412,114.70588235294117,141.74757281553397,935,718,130.22284122562675,BA Stokes,11,17,28
191,DT Christian,327,133,290,118,112.75862068965516,112.71186440677967,460,408,112.74509803921569,DT Christian,21,17,38
250,J Botha,138,271,131,233,105.34351145038168,116.30901287553648,409,364,112.36263736263736,J Botha,8,17,25
714,Washington Sundar,157,221,162,179,96.91358024691358,123.4636872,378,341,110.85043988269794,Washington Sundar,20,17,37
726,Yash Dayal,0,0,1,0,0,0,0,1,0,Yash Dayal,11,17,28
39,AD Mathews,410,314,325,274,126.15384615384615,114.59854014598541,724,599,120.86811352253757,AD Mathews,11,16,27
93,Azhar Mahmood,236,152,180,131,131.11111111111111,116.03053435114504,388,311,124.7588424437299,Azhar Mahmood,13,16,29
727,0,0,0,0,0,0,0,0,0,0,Yash Thakur,8,16,24
120,Basil Thampi,21,11,24,13,87.5,84.61538461538461,32,37,86.48648648648648,Basil Thampi,7,15,22
145,CR Woakes,49,29,49,28,100,103.57142857142858,78,77,101.29870129870129,CR Woakes,15,15,30
237,Harshit Rana,0,2,2,1,0,200,2,3,66.66666666666666,Harshit Rana,10,15,25
366,M Theekshana,0,7,3,4,0,175,7,7,100,M Theekshana,10,15,25
440,NLTC Perera,217,205,179,145,121.22905027932961,141.3793103448276,424,326,130.06134969325154,NLTC Perera,16,15,31
573,S Sreesanth,18,16,39,18,46.15384615384615,88.88888888888889,34,57,59.64912280701754,S Sreesanth,25,15,40
637,Shahbaz Ahmed,275,261,230,237,119.56521739130434,110.12658227848102,536,467,114.77516059957173,Shahbaz Ahmed,6,15,21
722,YK Pathan,1325,1879,1037,1293,127.77242044358728,145.32095901005414,3222,2334,138.04627249357327,YK Pathan,27,15,42
235,Harpreet Brar,169,64,139,62,121.58273381294964,103.2258064516129,233,201,115.92039800995025,Harpreet Brar,11,14,25
241,IC Pandey,0,0,0,2,0,0,0,2,0,IC Pandey,4,14,18
441,NM Coulter-Nile,62,20,61,14,101.63934426229508,142.85714285714286,82,75,109.33333333333333,NM Coulter-Nile,34,14,48
641,Shivam Mavi,12,39,16,42,75,92.85714285714286,51,58,87.93103448275862,Shivam Mavi,16,14,30
76,Akash Madhwal,4,0,5,0,80,0,4,5,80,Akash Madhwal,6,13,19
138,CJ Jordan,53,28,52,29,101.92307692307692,96.55172413793103,81,81,100,CJ Jordan,17,13,30
443,NT Ellis,18,1,24,2,75,50,19,26,73.07692307692307,NT Ellis,5,13,18
450,Noor Ahmad,1,12,8,10,12.5,120,13,18,72.22222222222221,Noor Ahmad,11,13,24
509,R Tewatia,365,648,276,512,132.24637681159422,126.5625,1013,788,128.55329949238578,R Tewatia,19,13,32
520,RG Sharma,3600,3028,2712,2468,132.7433628318584,122.6904376012966,6630,5183,127.91819409608335,RG Sharma,2,13,15
567,S Nadeem,9,30,30,58,30,51.724137931034484,39,88,44.31818181818182,S Nadeem,35,13,48
713,WPUJC Vaas,62,19,58,15,106.89655172413792,126.66666666666666,81,73,110.95890410958904,WPUJC Vaas,5,13,18
62,AS Rajpoot,7,19,16,25,43.75,76,26,41,63.41463414634146,AS Rajpoot,12,12,24
424,Mukesh Choudhary,4,2,4,2,100,100,6,6,100,Mukesh Choudhary,4,12,16
425,Mukesh Kumar,0,10,0,20,0,50,10,20,50,Mukesh Kumar,12,12,24
434,NA Saini,11,20,12,24,91.66666666666666,83.33333333333334,31,36,86.11111111111111,NA Saini,5,12,18
522,RJ Harris,59,58,49,63,120.40816326530613,92.06349206349206,117,112,104.46428571428572,RJ Harris,33,12,45
688,Umran Malik,0,23,1,15,0,153.33333333333334,23,16,143.75,Umran Malik,17,12,29
0,A Ashish Reddy,166,114,115,81,144.34782608695653,140.74074074074073,280,196,142.85714285714286,A Ashish Reddy,7,11,18
17,A Singh,1,1,4,6,25,16.666666666666664,2,10,20,A Singh,17,11,28
48,AJ Tye,38,53,40,39,95,135.8974358974359,91,79,115.18987341772151,AJ Tye,31,11,42
105,BA Bhatt,6,0,2,5,300,0,6,7,85.71428571428571,BA Bhatt,1,11,12
273,JL Pattinson,15,0,13,0,115.38461538461537,0,15,13,115.38461538461537,JL Pattinson,0,11,11
279,JP Duminy,1342,687,1064,616,126.12781954887218,111.52597402597402,2029,1680,120.77380952380952,JP Duminy,12,11,23
290,K Gowtham,69,178,47,112,146.80851063829786,158.92857142857142,247,159,155.34591194968556,K Gowtham,10,11,21
501,R Rampaul,16,35,27,25,59.25925925925925,140,51,52,98.07692307692307,R Rampaul,3,11,16
518,RE van der Merwe,96,63,81,63,118.5185185185185,100,159,144,110.41666666666667,RE van der Merwe,10,11,21
695,VG Arora,8,1,16,1,50,100,9,17,52.94117647058824,VG Arora,8,11,19
18,A Symonds,622,352,472,309,131.77966101694915,113.91585760517799,974,781,124.71190781049937,A Symonds,10,10,20
119,0,0,0,0,0,0,0,0,0,0,BW Hilfenhaus,12,10,22
132,CH Gayle,2873,2092,1959,1543,146.65645737621236,135.5800388852884,4997,3516,142.1217292377702,CH Gayle,8,10,18
178,DL Vettori,59,62,59,59,100,105.08474576271188,121,118,102.54237288135593,DL Vettori,18,10,28
206,GB Hogg,0,22,0,22,0,100,22,22,100,GB Hogg,13,10,23
233,Harmeet Singh,14,4,6,6,233.33333333333334,66.66666666666666,18,12,150,Harmeet Singh,16,10,26
319,KR Sen,0,0,0,3,0,0,0,3,0,KR Sen,4,10,14
381,MF Maharoof,97,80,63,61,153.96825396825398,131.14754098360655,177,124,142.74193548387098,MF Maharoof,17,10,27
626,STR Binny,421,459,324,376,129.93827160493828,122.07446808510637,880,700,125.71428571428571,STR Binny,12,10,22
629,SW Tait,12,11,14,12,85.71428571428571,91.66666666666666,23,26,88.46153846153845,SW Tait,13,10,23
61,AS Joseph,5,22,6,26,83.33333333333334,84.61538461538461,27,32,84.375,AS Joseph,12,9,21
85,Anureet Singh,11,25,8,39,137.5,64.1025641,36,47,76.59574468085107,Anureet Singh,9,9,18
110,BB Sran,2,8,3,11,66.66666666666666,72.72727272727273,10,14,71.42857142857143,BB Sran,9,9,18
121,Bipul Sharma,68,119,50,74,136,160.8108108108108,187,124,150.80645161290323,Bipul Sharma,8,9,17
123,C Green,367,340,249,223,147.3895582329317,152.46636771300447,707,472,149.78813559322032,C Green,7,9,16
144,CR Brathwaite,147,34,90,30,163.33333333333334,113.33333333333333,181,120,150.83333333333334,CR Brathwaite,4,9,13
146,CRD Fernando,0,4,0,3,0,133.33333333333331,4,3,133.33333333333331,CRD Fernando,8,9,17
288,Joginder Sharma,16,20,11,19,145.45454545454547,105.26315789473684,36,30,120,Joginder Sharma,3,9,12
447,Naveen-ul-Haq,2,16,3,23,66.66666666666666,69.56521739130434,18,26,69.23076923076923,Naveen-ul-Haq,16,9,25
595,SJ Srivastava,5,0,4,1,125,0,5,5,100,SJ Srivastava,5,9,14
697,VR Aaron,25,25,37,36,67.56756756756756,69.44444444444444,50,73,68.49315068,VR Aaron,35,9,44
2,A Chandila,4,0,7,0,57.14285714285714,0,4,7,57.14285714285714,A Chandila,3,8,11
21,A Zampa,8,7,11,14,72.72727272727273,50,15,25,60,A Zampa,21,8,29
114,BJ Hodge,654,746,568,585,115.14084507042253,127.52136752136751,1400,1153,121.42237640936686,BJ Hodge,9,8,17
175,DJG Sammy,220,75,188,63,117.02127659574468,119.04761904761905,295,251,117.52988047808766,DJG Sammy,3,8,11
188,DR Smith,1105,1280,914,889,120.89715536105032,143.9820022497188,2385,1803,132.27953410981698,DR Smith,18,8,26
204,G Coetzee,5,9,12,10,41.66666666666667,90,14,22,63.63636363636363,G Coetzee,5,8,13
209,GD McGrath,0,4,0,5,0,80,4,5,80,GD McGrath,4,8,12
325,KW Richardson,9,27,17,22,52.94117647058824,122.72727272727273,36,39,92.30769231,KW Richardson,11,8,19
346,LR Shukla,268,137,209,149,128.22966507177034,91.94630872483222,405,358,113.12849162011173,LR Shukla,7,8,15
539,RS Bopara,298,233,274,194,108.75912408759123,120.10309278350515,531,468,113.46153846153845,RS Bopara,3,8,11
586,SC Ganguly,721,628,714,612,100.98039215686273,102.61437908496731,1349,1326,101.73453996983409,SC Ganguly,2,8,10
650,Sohail Tanvir,14,22,14,17,100,129.41176470588235,36,31,116.12903225806453,Sohail Tanvir,14,8,22
704,Vijaykumar Vyshak,0,14,2,11,0,127.27272727272727,14,13,107.6923076923077,Vijaykumar Vyshak,5,8,13
31,AB McDonald,74,49,57,46,129.82456140350877,106.5217391304348,123,103,119.41747572815532,AB McDonald,4,7,11
51,AM Nayar,357,315,308,280,115.90909090909092,112.5,672,588,114.28571428571428,AM Nayar,2,7,9
101,B Lee,64,60,53,49,120.75471698113208,122.44897959183673,124,102,121.56862745098039,B Lee,18,7,25
259,JC Archer,83,116,56,76,148.21428571428572,152.63157894736844,199,132,150.75757575757575,JC Archer,41,7,48
278,JP Behrendorff,0,6,0,9,0,66.66666666666666,6,9,66.66666666666666,JP Behrendorff,12,7,19
316,KP Appanna,0,2,1,3,0,66.66666666666666,2,4,50,KP Appanna,2,7,9
373,MA Wood,0,12,0,10,0,120,12,10,120,MA Wood,4,7,11
417,Mohammad Nabi,111,104,79,76,140.50632911392404,136.8421052631579,221,157,140.76433121019107,Mohammad Nabi,8,7,15
423,Mujeeb Ur Rahman,0,12,3,12,0,100,12,15,80,Mujeeb Ur Rahman,12,7,19
485,PV Tambe,2,16,4,35,50,45.714285714285715,18,39,46.15384615384615,PV Tambe,21,7,28
486,PVD Chameera,18,25,12,20,150,125,43,32,134.375,PVD Chameera,2,7,9
530,RP Meredith,0,0,0,3,0,0,0,3,0,RP Meredith,12,7,19
535,RR Powar,54,13,51,13,105.88235294117648,100,67,64,104.6875,RR Powar,6,7,13
551,Rasikh Salam,17,23,13,27,130.76923076923077,85.18518518518519,40,40,100,Rasikh Salam,2,7,9
654,0,0,0,0,0,0,0,0,0,0,Suyash Sharma,3,7,10
669,TK Curran,36,91,37,71,97.2972973,128.16901408450704,127,108,117.59259259259258,TK Curran,6,7,13
23,AA Chavan,8,4,9,2,88.88888888888889,200,12,11,109.09090909090908,AA Chavan,2,6,8
