Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
Azmatullah Omarzai,GTI,7,42,10.5,4,46.5
Yudhvir Singh,LSG,5,22,5.5,4,30.5
Parvez Rasool,"PWI, SUN, RCB",11,17,8.5,4,67.75
D du Preez,RCB,2,10,10,4,14
S H Johnson,GTI,5,6,,4,37.75
Shivam Sharma,KXI,5,5,5,4,41.25
D J Muthuswami,DDV,6,1,1,4,25.25
L E Plunkett,DDV,7,1,1,4,56.25
D P Vijaykumar,DCH,9,1,,4,49.75
V R Iyer,KKR,51,1326,31.57,3,47.67
A L Menaria,RRO,29,401,19.1,3,48
N K Reddy,SUN,15,303,33.67,3,69
R Sathish,"MIN, KXI, KKR",34,270,15.88,3,77.33
Sikandar Raza,KXI,9,182,26,3,47
D Thornely,MIN,6,39,19.5,3,13.33
R J Peterson,MIN,5,32,10.67,3,23.33
J M Kemp,CSK,5,26,13,3,18
P Sahu,KXI,5,19,19,3,48.67
J J van der Wath,RCB,3,18,9,3,43
J A Richardson,"KXI, DDV",4,17,5.67,3,52.33
A S Tendulkar,MIN,5,13,13,3,38
D A J Bracewell,DDV,1,12,,3,10.67
S M Harwood,RRO,3,9,,3,24.33
R Ninan,RCB,2,3,3,3,21.67
G H S Garton,RCB,5,2,2,3,45
T Shamsi,"RCB, RRO",5,2,,3,60.33
L Ablish,KXI,3,0,,3,25
Gagandeep Singh,KXI,4,0,,3,47
R Hangargekar,CSK,2,0,,3,20
J W Hastings,"CSK, KKR",3,0,,3,22
K Santokie,MIN,2,0,,3,30
A K Markram,"KXI, SUN",44,995,30.15,2,86
T M Head,"RCB, SUN",25,772,36.76,2,56.5
A Badoni,LSG,42,634,24.38,2,18
Abdul Samad,SUN,50,577,19.23,2,56.5
R N ten Doeschate,KKR,29,326,23.29,2,47
W G Jacks,RCB,8,230,32.86,2,50
Sachin Baby,"RRO, RCB",19,144,16,2,4
L J Wright,PWI,7,106,21.2,2,62
S D Chitnis,"MIN, RRO, KXI",11,99,14.14,2,30
M J Clarke,PWI,6,98,16.33,2,33.5
G D Phillips,"RRO, SUN",8,65,9.29,2,20
Mohammad Hafeez,KKR,8,64,9.14,2,34
A Flintoff,CSK,3,62,31,2,52.5
Shoaib Malik,DDV,7,52,13,2,42.5
M Khote,MIN,4,24,12,2,25.5
A U Rashid,"KXI, SUN",3,22,11,2,45.5
F A Allen,"KXI, MIN",5,14,7,2,68
K J Abbott,KXI,5,13,13,2,88.5
D N T Zoysa,DCH,3,11,11,2,49.5
J P R Scantlebury-Searles,KKR,4,8,8,2,44.5
Ankit Soni,GUJ,7,7,3.5,2,58.5
A Uniyal,RRO,2,4,4,2,33
D Kalyankrishna,DCH,3,3,3,2,43.5
Anshul Kamboj,MIN,3,2,,2,57
K A Maharaj,RRO,2,1,1,2,19.5
S M Boland,RPS,2,0,,2,27
M J Dagar,"SUN, RCB",8,0,0,2,101.5
N D Doshi,"RCB, RRO",4,0,0,2,39.5
M J Henry,"KXI, LSG",6,0,,2,90.5
V Kaverappa,KXI,1,0,,2,18
S C Kuggeleijn,CSK,2,0,,2,35.5
C Nanda,MIN,3,0,0,2,28.5
P Solanki,CSK,2,0,,2,19
P S Suyal,MIN,5,0,,2,75.5
K Yadav,RRO,3,0,,2,42
A M Rahane,"MIN, RRO, RPS, DDV, KKR, CSK",185,4642,30.14,1,5
A J Finch,"RRO, DDV, PWI, SUN, MIN, GUJ, KXI, RCB, KKR",92,2091,25.19,1,67
A C Gilchrist,"DCH, KXI",80,2069,27.22,1,0
M K Tiwary,"DDV, KKR, RPS, KXI",98,1695,28.73,1,83
L M P Simmons,MIN,29,1079,39.96,1,34
C L White,"RCB, DCH, SUN",47,954,26.5,1,86
M K Lomror,"RRO, RCB",40,527,18.17,1,127
S Singh,"SUN, KXI",24,423,35.25,1,25
D B Ravi Teja,"DCH, SUN",32,375,19.74,1,28
R Powell,"DDV, RRO",27,360,18.95,1,35
D J Mitchell,"RRO, CSK",15,351,27,1,97
G H Vihari,"SUN, DDV",24,284,14.2,1,47
D Brevis,MIN,10,230,23,1,8
A A Jhunjhunwala,"RRO, PWI, DCH",21,217,16.69,1,129
S Vidyut,CSK,9,145,18.13,1,22
D J M Short,RRO,7,115,16.43,1,19
S E Rutherford,"DDV, RCB, KKR",10,106,15.14,1,59
L A Carseldine,RRO,5,81,20.25,1,6
D Salunkhe,RRO,6,33,16.5,1,78
P Dubey,DDV,4,23,23,1,91
B M A J Mendis,DDV,3,23,7.67,1,36
S A Abbott,"RCB, SUN",3,22,7.33,1,104
A J Hosein,SUN,1,16,,1,40
G R Napier,MIN,1,15,15,1,27
