,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate,total_runs_scored,Dismissal_Count,Total_batting_average
32,Arshad Khan,0.0,0.0,18.0,78.0,0.0,0.0,15.0,52.0,0.0,0.0,5.0,1.0,0.0,0.0,97.0,56.0,0.0,0.0,208.0,98.0,96.0,67.0,6.0,153.0,306.0,143.28,25.3,12.09,96.0,3.0,32.0
33,Arshad Khan (2),0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,125.0,0.0,,5.0,1.0,5.0
34,Arshdeep Singh,2.0,21.0,2.0,4.0,3.0,30.0,2.0,4.0,15.0,10.0,17.0,19.0,239.0,317.0,324.0,326.0,334.0,440.0,520.0,547.0,29.0,39.0,61.0,1206.0,1841.0,74.36,201.0,9.16,29.0,4.0,7.25
35,Ashutosh Sharma,0.0,0.0,0.0,189.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,118.0,0.0,0.0,0.0,160.17,0.0,,189.0,7.0,27.0
36,Atharva Taide,0.0,0.0,186.0,61.0,0.0,0.0,136.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,177.0,0.0,0.0,0.0,139.55,0.0,,247.0,9.0,27.444444444444443
37,Avesh Khan,5.0,22.0,0.0,10.0,3.0,13.0,1.0,5.0,19.0,18.0,8.0,19.0,334.0,300.0,176.0,346.0,442.0,448.0,297.0,558.0,37.0,22.0,64.0,1156.0,1745.0,168.18,192.4,9.07,37.0,2.0,18.5
38,Azmatullah Omarzai,0.0,0.0,0.0,42.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,207.0,42.0,34.0,4.0,131.0,207.0,123.53,21.5,9.63,42.0,4.0,10.5
39,B Indrajith,0.0,21.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,31.0,0.0,0.0,0.0,67.74,0.0,,21.0,3.0,7.0
40,B Kumar,32.0,24.0,42.0,23.0,30.0,28.0,49.0,30.0,4.0,12.0,16.0,11.0,209.0,330.0,319.0,357.0,267.0,430.0,456.0,592.0,121.0,137.0,43.0,1215.0,1745.0,88.32,202.3,8.63,121.0,10.0,12.1
41,B Sai Sudharsan,0.0,145.0,362.0,527.0,0.0,118.0,264.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,770.0,0.0,0.0,0.0,134.29,0.0,,1034.0,22.0,47.0
42,BA Stokes,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,100.0,0.0,,15.0,3.0,5.0
43,BR Sharath,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,40.0,0.0,,2.0,1.0,2.0
