,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024
204,R Sanjay Yadav,0,0,0,0,0,2,0,0
205,R Shepherd,0,58,0,57,0,43,1,24
206,R Tewatia,134,217,87,188,129,156,61,139
207,RA Bawa,0,11,0,0,0,14,0,0
208,RA Jadeja,201,116,190,267,153,105,138,191
209,RA Tripathi,339,413,273,165,251,271,217,121
210,RD Chahar,6,77,0,21,8,70,10,15
211,RD Gaikwad,630,368,590,583,465,298,411,425
212,RG Sharma,319,268,332,417,260,234,258,293
213,RJ Gleeson,0,0,0,2,0,0,0,2
214,RJW Topley,0,0,0,3,0,0,0,6
215,RK Bhui,0,0,0,3,0,0,0,9
216,RK Singh,0,174,474,168,0,125,333,117
217,RM Patidar,63,333,0,395,56,232,0,237
218,RP Meredith,0,0,0,0,0,1,2,0
219,RR Pant,353,340,0,446,293,234,0,296
220,RR Rossouw,0,0,209,211,0,0,148,122
221,RV Patel,25,6,49,0,29,3,44,0
222,RV Uthappa,115,230,0,0,86,181,0,0
223,Rahmanullah Gurbaz,0,0,227,62,0,0,178,50
224,Ramandeep Singh,0,45,0,125,0,42,0,64
225,Rashid Khan,66,91,130,102,62,44,66,75
226,Rasikh Salam,0,7,0,28,0,6,0,30
227,Ravi Bishnoi,1,0,20,4,5,1,28,6
228,S Dhawan,493,460,373,152,412,395,275,125
229,S Dube,205,289,418,396,183,194,277,259
230,S Gopal,7,9,0,0,5,7,0,0
231,S Kaul,8,0,0,0,8,0,0,0
232,SA Abbott,0,7,0,0,0,5,0,0
233,SA Yadav,230,303,605,345,165,210,340,209
234,SB Dubey,0,0,0,33,0,0,0,21
235,SD Hope,0,0,0,183,0,0,0,125
236,SE Rutherford,0,33,0,0,0,52,0,0
237,SH Johnson,0,0,0,6,0,0,0,7
238,SK Raina,98,0,0,0,87,0,0,0
239,SM Curran,17,0,276,270,10,0,213,230
240,SN Khan,0,91,53,0,4,69,62,0
241,SN Thakur,5,120,113,21,6,90,72,18
242,SO Hetmyer,242,314,299,113,153,221,205,72
243,SP Jackson,0,23,0,0,0,26,0,0
244,SP Narine,62,71,21,488,51,40,28,292
245,SPD Smith,152,0,0,0,136,0,0,0
246,SS Iyer,175,401,0,351,181,310,0,250
247,SS Prabhudessai,0,67,35,24,0,62,32,19
248,SS Tiwary,115,0,0,0,99,0,0,0
249,SV Samson,361,458,362,531,303,321,240,367
250,SW Billings,0,169,0,0,0,143,0,0
251,SZ Mulani,0,0,0,1,0,0,0,1
252,Sachin Baby,7,0,0,0,17,0,0,0
253,Sameer Rizvi,0,0,0,51,0,0,0,43
254,Sandeep Sharma,8,0,2,0,7,0,7,0
255,Sanvir Singh,0,0,11,14,0,0,9,13
