,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,bowler,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024
128,Kuldeep Yadav,0,48,31,47,0,54,50,44,Kuldeep Yadav,0,21,10,16,0,306,300,267,0,429,377,389
129,Kumar Kushagra,0,0,0,3,0,0,0,7,,,,,,,,,,,,,
130,L Wood,0,0,0,9,0,0,0,3,L Wood,0,0,0,1,0,0,0,38,0,0,0,97
131,LB Williams,0,0,0,1,0,0,0,2,LB Williams,0,0,0,1,0,0,0,42,0,0,0,87
132,LH Ferguson,18,5,0,1,13,4,0,1,LH Ferguson,13,12,1,9,186,298,50,147,234,455,108,268
133,LS Livingstone,42,437,279,111,43,261,175,82,LS Livingstone,0,6,2,3,0,144,42,75,0,208,94,91
134,Lalit Yadav,48,161,66,10,50,152,62,12,Lalit Yadav,4,4,2,0,84,110,82,18,101,156,126,58
135,Liton Das,0,0,4,0,0,0,4,0,,,,,,,,,,,,,
136,M Ashwin,15,12,0,0,24,14,0,0,M Ashwin,0,9,0,0,37,179,25,0,46,243,54,0
137,M Jansen,0,9,39,18,0,7,45,15,M Jansen,0,7,10,1,0,201,178,68,0,295,299,152
138,M Markande,0,0,21,0,0,0,14,0,M Markande,0,1,12,8,18,42,230,142,26,65,303,269
139,M Prasidh Krishna,0,6,0,0,1,12,0,0,M Prasidh Krishna,9,19,0,0,201,432,0,0,296,623,0,0
140,M Shahrukh Khan,147,117,156,127,114,118,100,77,,,,,,,,,,,,,
141,M Theekshana,0,7,0,0,0,7,0,0,M Theekshana,0,12,11,2,0,212,298,121,0,275,415,149
142,M Vohra,21,19,10,0,20,12,11,0,,,,,,,,,,,,,
143,MA Agarwal,427,196,270,64,314,167,219,59,,,,,,,,,,,,,
144,MA Starc,0,0,0,9,0,0,0,11,MA Starc,0,0,0,17,0,0,0,267,0,0,0,486
145,MA Wood,0,0,11,0,0,0,5,0,MA Wood,0,0,11,0,0,0,102,0,0,0,160,0
146,MC Henriques,31,0,0,0,32,0,0,0,MC Henriques,4,0,0,0,61,0,0,0,50,0,0,0
147,MD Shanaka,0,0,26,0,0,0,26,0,,,,,,,,,,,,,
148,MG Bracewell,0,0,58,0,0,0,49,0,MG Bracewell,0,0,6,0,0,0,66,0,0,0,95,0
149,MJ Santner,0,22,2,14,0,30,4,18,MJ Santner,0,4,3,2,0,114,72,54,0,140,83,64
150,MJ Suthar,0,0,0,1,0,0,0,2,,,,,,,,,,,,,
151,MK Lomror,94,86,135,125,76,60,101,74,MK Lomror,1,0,0,0,43,12,12,9,48,18,17,21
152,MK Pandey,193,88,160,42,159,84,149,33,,,,,,,,,,,,,
153,MM Ali,303,244,124,128,235,183,92,105,MM Ali,6,8,9,2,135,146,157,49,133,163,202,72
154,MM Sharma,0,0,0,2,0,0,1,16,MM Sharma,0,0,27,13,0,0,268,245,0,0,366,442
155,MP Stoinis,75,156,408,388,59,116,281,272,MP Stoinis,2,4,5,4,50,44,69,87,81,81,106,135
156,MR Marsh,0,251,128,61,0,192,97,41,MR Marsh,0,4,12,1,0,76,132,54,0,106,185,109
157,MS Dhoni,114,232,104,161,109,198,63,82,,,,,,,,,,,,,
158,MS Wade,0,157,0,4,0,145,0,7,,,,,,,,,,,,,
159,MW Short,0,0,117,0,0,0,99,0,,,,,,,,,,,,,
160,Mandeep Singh,15,18,14,0,14,24,16,0,,,,,,,,,,,,,
161,Mayank Dagar,0,0,0,0,0,0,0,1,Mayank Dagar,0,0,1,1,0,0,66,72,0,0,83,129
