,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven
74,GD Phillips,26,0,39,0,33,0,22,0,1.0,0.0,1.0,0.0,13.0,0.0,18.0,0.0,21.0,0.0,20.0,0.0,65,55,2.0,31.0,41.0
75,GHS Garton,2,0,0,0,4,0,0,0,3.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,2,4,3.0,97.0,144.0
76,GJ Maxwell,415,301,400,52,298,184,225,46,3.0,6.0,3.0,6.0,99.0,146.0,64.0,98.0,138.0,169.0,98.0,135.0,1168,753,18.0,407.0,540.0
77,Gulbadin Naib,0,0,0,19,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,15,0.0,0.0,0.0
78,H Klaasen,0,0,448,479,0,0,262,293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927,555,0.0,0.0,0.0
79,HC Brook,0,0,190,0,0,0,159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,159,0.0,0.0,0.0
80,HE van der Dussen,0,22,0,0,0,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,25,0.0,0.0,0.0
81,HH Pandya,99,487,346,216,89,387,254,154,0.0,8.0,3.0,11.0,0.0,189.0,156.0,226.0,0.0,236.0,260.0,401.0,1148,884,22.0,571.0,897.0
82,HR Shokeen,0,43,23,0,0,48,19,0,0.0,2.0,3.0,0.0,0.0,94.0,119.0,0.0,0.0,137.0,202.0,0.0,66,67,5.0,213.0,339.0
83,HV Patel,55,43,6,13,45,42,6,19,25.0,19.0,14.0,24.0,310.0,338.0,302.0,317.0,431.0,457.0,504.0,520.0,117,112,82.0,1267.0,1912.0
84,Harbhajan Singh,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0
85,Harpreet Brar,64,22,52,75,61,25,42,59,5.0,4.0,9.0,7.0,141.0,100.0,166.0,230.0,150.0,155.0,223.0,321.0,213,187,25.0,637.0,849.0
86,Harpreet Singh,0,0,76,27,0,0,59,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,93,0.0,0.0,0.0
87,Harshit Rana,0,2,0,0,0,2,1,0,0.0,1.0,5.0,19.0,0.0,31.0,108.0,264.0,0.0,54.0,165.0,398.0,2,3,25.0,403.0,617.0
88,I Sharma,0,0,1,1,0,0,1,8,1.0,0.0,10.0,10.0,72.0,0.0,157.0,182.0,99.0,0.0,223.0,291.0,2,9,21.0,411.0,613.0
89,Ishan Kishan,212,418,454,320,159,355,325,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404,1061,0.0,0.0,0.0
90,J Fraser-McGurk,0,0,0,330,0,0,0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,150,0.0,0.0,0.0
91,J Suchith,14,2,0,0,6,8,0,0,0.0,7.0,0.0,0.0,42.0,115.0,0.0,0.0,66.0,150.0,0.0,0.0,16,14,7.0,157.0,216.0
92,J Yadav,34,0,0,0,26,0,0,0,2.0,0.0,0.0,0.0,106.0,0.0,24.0,0.0,136.0,0.0,26.0,0.0,34,26,2.0,130.0,162.0
93,JA Richardson,15,0,0,2,23,0,0,2,2.0,0.0,0.0,0.0,37.0,0.0,0.0,25.0,63.0,0.0,0.0,42.0,17,25,2.0,62.0,105.0
94,JC Archer,0,0,4,0,0,0,4,0,0.0,0.0,2.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,227.0,0.0,4,4,2.0,129.0,227.0
95,JC Buttler,227,863,392,359,153,596,298,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841,1313,0.0,0.0,0.0
96,JD Unadkat,30,59,9,24,25,37,7,27,1.0,6.0,0.0,8.0,110.0,123.0,52.0,200.0,155.0,196.0,100.0,336.0,122,96,15.0,485.0,787.0
97,JDS Neesham,0,31,0,0,2,27,0,0,5.0,0.0,0.0,0.0,54.0,18.0,0.0,0.0,70.0,29.0,0.0,0.0,31,29,5.0,72.0,99.0
98,JE Root,0,0,10,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,15,0.0,0.0,0.0
99,JJ Bumrah,15,0,0,12,14,9,0,12,19.0,15.0,0.0,20.0,298.0,327.0,0.0,328.0,395.0,408.0,0.0,367.0,27,35,54.0,953.0,1170.0
100,JJ Roy,150,0,285,0,125,0,196,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435,321,0.0,0.0,0.0
101,JM Bairstow,181,253,0,298,125,180,0,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732,502,0.0,0.0,0.0
102,JM Sharma,0,234,309,187,0,149,205,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730,501,0.0,0.0,0.0
103,JO Holder,81,58,12,0,68,46,12,0,13.0,14.0,4.0,0.0,175.0,266.0,176.0,0.0,231.0,424.0,301.0,0.0,151,126,31.0,617.0,956.0
104,JP Behrendorff,0,0,6,0,0,0,9,0,0.0,0.0,14.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,417.0,0.0,6,9,14.0,262.0,417.0
105,JR Hazlewood,0,18,1,0,0,27,2,0,11.0,20.0,3.0,0.0,215.0,289.0,57.0,0.0,316.0,393.0,79.0,0.0,19,29,34.0,561.0,788.0
106,K Gowtham,0,0,61,0,0,2,44,0,0.0,5.0,3.0,0.0,0.0,72.0,100.0,13.0,0.0,103.0,122.0,32.0,61,46,8.0,185.0,257.0
107,K Kartikeya,0,3,6,0,0,6,7,0,0.0,5.0,5.0,0.0,0.0,78.0,163.0,0.0,0.0,104.0,243.0,0.0,9,13,10.0,241.0,347.0
108,K Rabada,4,48,0,20,2,47,2,17,13.0,23.0,7.0,11.0,322.0,303.0,147.0,262.0,452.0,442.0,263.0,410.0,72,68,54.0,1034.0,1567.0
109,K Yadav,0,0,0,0,4,0,0,0,0.0,0.0,2.0,0.0,12.0,0.0,42.0,0.0,18.0,0.0,68.0,0.0,0,4,2.0,54.0,86.0
110,KA Jamieson,49,0,0,0,42,0,0,0,7.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,49,42,7.0,135.0,221.0
111,KA Maharaj,0,0,0,1,0,0,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,39.0,1,2,2.0,36.0,39.0
112,KA Pollard,233,144,0,0,163,146,0,0,5.0,4.0,0.0,0.0,79.0,87.0,0.0,0.0,89.0,138.0,0.0,0.0,377,309,9.0,166.0,227.0
113,KD Karthik,193,330,140,326,151,188,106,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989,640,0.0,0.0,0.0
114,KH Pandya,121,183,188,133,110,150,172,112,3.0,10.0,9.0,6.0,161.0,232.0,253.0,205.0,244.0,277.0,328.0,276.0,625,544,28.0,851.0,1125.0
115,KK Ahmed,1,0,0,0,2,2,0,0,5.0,16.0,9.0,17.0,168.0,242.0,212.0,324.0,237.0,322.0,333.0,533.0,1,4,47.0,946.0,1425.0
116,KK Nair,0,16,0,0,0,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,18,0.0,0.0,0.0
117,KL Nagarkoti,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0
118,KL Rahul,535,616,274,520,413,472,247,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945,1530,0.0,0.0,0.0
119,KM Asif,0,0,0,0,0,0,2,0,1.0,0.0,3.0,0.0,14.0,0.0,91.0,0.0,19.0,0.0,149.0,0.0,0,2,4.0,105.0,168.0
120,KM Jadhav,55,0,12,0,55,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,65,0.0,0.0,0.0
121,KR Mayers,0,0,379,0,0,0,276,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379,276,0.0,0.0,0.0
122,KR Sen,0,0,0,0,0,3,0,0,0.0,8.0,0.0,6.0,0.0,157.0,19.0,79.0,0.0,250.0,31.0,139.0,0,3,14.0,255.0,420.0
123,KS Bharat,191,8,0,0,161,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,168,0.0,0.0,0.0
124,KS Sharma,0,4,12,0,0,4,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,25,0.0,0.0,0.0
125,KS Williamson,266,216,0,27,247,235,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,509,0.0,0.0,0.0
126,KV Sharma,0,0,3,31,0,0,5,16,0.0,0.0,10.0,7.0,0.0,0.0,132.0,149.0,0.0,0.0,238.0,263.0,34,21,17.0,281.0,501.0
127,Kartik Tyagi,2,7,0,0,4,6,0,0,4.0,1.0,1.0,0.0,93.0,54.0,44.0,26.0,137.0,85.0,99.0,55.0,9,10,6.0,217.0,376.0
128,Kuldeep Yadav,0,48,31,47,0,54,50,44,0.0,21.0,10.0,16.0,0.0,306.0,300.0,267.0,0.0,429.0,377.0,389.0,126,148,47.0,873.0,1195.0
129,Kumar Kushagra,0,0,0,3,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0.0,0.0,0.0
130,L Wood,0,0,0,9,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,97.0,9,3,1.0,38.0,97.0
131,LB Williams,0,0,0,1,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,87.0,1,2,1.0,42.0,87.0
132,LH Ferguson,18,5,0,1,13,4,0,1,13.0,12.0,1.0,9.0,186.0,298.0,50.0,147.0,234.0,455.0,108.0,268.0,24,18,35.0,681.0,1065.0
133,LS Livingstone,42,437,279,111,43,261,175,82,0.0,6.0,2.0,3.0,0.0,144.0,42.0,75.0,0.0,208.0,94.0,91.0,869,561,11.0,261.0,393.0
134,Lalit Yadav,48,161,66,10,50,152,62,12,4.0,4.0,2.0,0.0,84.0,110.0,82.0,18.0,101.0,156.0,126.0,58.0,285,276,10.0,294.0,441.0
135,Liton Das,0,0,4,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0
136,M Ashwin,15,12,0,0,24,14,0,0,0.0,9.0,0.0,0.0,37.0,179.0,25.0,0.0,46.0,243.0,54.0,0.0,27,38,9.0,241.0,343.0
137,M Jansen,0,9,39,18,0,7,45,15,0.0,7.0,10.0,1.0,0.0,201.0,178.0,68.0,0.0,295.0,299.0,152.0,66,67,18.0,447.0,746.0
138,M Markande,0,0,21,0,0,0,14,0,0.0,1.0,12.0,8.0,18.0,42.0,230.0,142.0,26.0,65.0,303.0,269.0,21,14,21.0,432.0,663.0
139,M Prasidh Krishna,0,6,0,0,1,12,0,0,9.0,19.0,0.0,0.0,201.0,432.0,0.0,0.0,296.0,623.0,0.0,0.0,6,13,28.0,633.0,919.0
140,M Shahrukh Khan,147,117,156,127,114,118,100,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547,409,0.0,0.0,0.0
141,M Theekshana,0,7,0,0,0,7,0,0,0.0,12.0,11.0,2.0,0.0,212.0,298.0,121.0,0.0,275.0,415.0,149.0,7,7,25.0,631.0,839.0
142,M Vohra,21,19,10,0,20,12,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,43,0.0,0.0,0.0
143,MA Agarwal,427,196,270,64,314,167,219,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957,759,0.0,0.0,0.0
144,MA Starc,0,0,0,9,0,0,0,11,0.0,0.0,0.0,17.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,486.0,9,11,17.0,267.0,486.0
145,MA Wood,0,0,11,0,0,0,5,0,0.0,0.0,11.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,160.0,0.0,11,5,11.0,102.0,160.0
146,MC Henriques,31,0,0,0,32,0,0,0,4.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,31,32,4.0,61.0,50.0
147,MD Shanaka,0,0,26,0,0,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,26,0.0,0.0,0.0
148,MG Bracewell,0,0,58,0,0,0,49,0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,95.0,0.0,58,49,6.0,66.0,95.0
