id,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate
113,KD Karthik,193,330,140,326,151,188,106,195,0,0,0,0,0,0,0,0,0,0,0,0,989,640,0,0,0,154.53,0,
114,KH Pandya,121,183,188,133,110,150,172,112,3,10,9,6,161,232,253,205,244,277,328,276,625,544,28,851,1125,114.89,141.5,7.95
115,KK Ahmed,1,0,0,0,2,2,0,0,5,16,9,17,168,242,212,324,237,322,333,533,1,4,47,946,1425,25,157.4,9.05
116,KK Nair,0,16,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,88.89,0,
117,KL Nagarkoti,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
118,KL Rahul,535,616,274,520,413,472,247,398,0,0,0,0,0,0,0,0,0,0,0,0,1945,1530,0,0,0,127.12,0,
119,KM Asif,0,0,0,0,0,0,2,0,1,0,3,0,14,0,91,0,19,0,149,0,0,2,4,105,168,0,17.3,9.71
120,KM Jadhav,55,0,12,0,55,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,67,65,0,0,0,103.08,0,
121,KR Mayers,0,0,379,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,379,276,0,0,0,137.32,0,
122,KR Sen,0,0,0,0,0,3,0,0,0,8,0,6,0,157,19,79,0,250,31,139,0,3,14,255,420,0,42.3,9.93
123,KS Bharat,191,8,0,0,161,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,168,0,0,0,118.45,0,
124,KS Sharma,0,4,12,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,64,0,
125,KS Williamson,266,216,0,27,247,235,0,27,0,0,0,0,0,0,0,0,0,0,0,0,509,509,0,0,0,100,0,
126,KV Sharma,0,0,3,31,0,0,5,16,0,0,10,7,0,0,132,149,0,0,238,263,34,21,17,281,501,161.9,46.5,10.77
127,Kartik Tyagi,2,7,0,0,4,6,0,0,4,1,1,0,93,54,44,26,137,85,99,55,9,10,6,217,376,90,36.1,10.42
128,Kuldeep Yadav,0,48,31,47,0,54,50,44,0,21,10,16,0,306,300,267,0,429,377,389,126,148,47,873,1195,85.14,145.3,8.22
129,Kumar Kushagra,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,42.86,0,
130,L Wood,0,0,0,9,0,0,0,3,0,0,0,1,0,0,0,38,0,0,0,97,9,3,1,38,97,300,6.2,15.65
131,LB Williams,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,42,0,0,0,87,1,2,1,42,87,50,7,12.43
132,LH Ferguson,18,5,0,1,13,4,0,1,13,12,1,9,186,298,50,147,234,455,108,268,24,18,35,681,1065,133.33,113.3,9.4
133,LS Livingstone,42,437,279,111,43,261,175,82,0,6,2,3,0,144,42,75,0,208,94,91,869,561,11,261,393,154.9,43.3,9.08
134,Lalit Yadav,48,161,66,10,50,152,62,12,4,4,2,0,84,110,82,18,101,156,126,58,285,276,10,294,441,103.26,49,9
135,Liton Das,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,100,0,
136,M Ashwin,15,12,0,0,24,14,0,0,0,9,0,0,37,179,25,0,46,243,54,0,27,38,9,241,343,71.05,40.1,8.55
137,M Jansen,0,9,39,18,0,7,45,15,0,7,10,1,0,201,178,68,0,295,299,152,66,67,18,447,746,98.51,74.3,10.04
138,M Markande,0,0,21,0,0,0,14,0,0,1,12,8,18,42,230,142,26,65,303,269,21,14,21,432,663,150,72,9.21
139,M Prasidh Krishna,0,6,0,0,1,12,0,0,9,19,0,0,201,432,0,0,296,623,0,0,6,13,28,633,919,46.15,105.3,8.73
140,M Shahrukh Khan,147,117,156,127,114,118,100,77,0,0,0,0,0,0,0,0,0,0,0,0,547,409,0,0,0,133.74,0,
141,M Theekshana,0,7,0,0,0,7,0,0,0,12,11,2,0,212,298,121,0,275,415,149,7,7,25,631,839,100,105.1,7.98
142,M Vohra,21,19,10,0,20,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,0,0,0,116.28,0,
143,MA Agarwal,427,196,270,64,314,167,219,59,0,0,0,0,0,0,0,0,0,0,0,0,957,759,0,0,0,126.09,0,
144,MA Starc,0,0,0,9,0,0,0,11,0,0,0,17,0,0,0,267,0,0,0,486,9,11,17,267,486,81.82,44.3,10.97
145,MA Wood,0,0,11,0,0,0,5,0,0,0,11,0,0,0,102,0,0,0,160,0,11,5,11,102,160,220,17,9.41
146,MC Henriques,31,0,0,0,32,0,0,0,4,0,0,0,61,0,0,0,50,0,0,0,31,32,4,61,50,96.88,10.1,4.95
147,MD Shanaka,0,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,100,0,
148,MG Bracewell,0,0,58,0,0,0,49,0,0,0,6,0,0,0,66,0,0,0,95,0,58,49,6,66,95,118.37,11,8.64
149,MJ Santner,0,22,2,14,0,30,4,18,0,4,3,2,0,114,72,54,0,140,83,64,38,52,9,240,287,73.08,40,7.18
150,MJ Suthar,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,50,0,
151,MK Lomror,94,86,135,125,76,60,101,74,1,0,0,0,43,12,12,9,48,18,17,21,440,311,1,76,104,141.48,12.4,8.39
152,MK Pandey,193,88,160,42,159,84,149,33,0,0,0,0,0,0,0,0,0,0,0,0,483,425,0,0,0,113.65,0,
153,MM Ali,303,244,124,128,235,183,92,105,6,8,9,2,135,146,157,49,133,163,202,72,799,615,25,487,570,129.92,81.1,7.03
154,MM Sharma,0,0,0,2,0,0,1,16,0,0,27,13,0,0,268,245,0,0,366,442,2,17,40,513,808,11.76,85.3,9.47
155,MP Stoinis,75,156,408,388,59,116,281,272,2,4,5,4,50,44,69,87,81,81,106,135,1027,728,15,250,403,141.07,41.4,9.73
