,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,totalrunsscored,totalballsfaced,batting_strike_rate,batting_strike_rate_2021,batting_strike_rate_2022,batting_strike_rate_2023,batting_strike_rate_2024
94,JC Archer,0,0,4,0,0,0,4,0,4,4,100,0,0,100,0
95,JC Buttler,227,863,392,359,153,596,298,266,1841,1313,140.21,148.37,144.8,131.54,134.96
96,JD Unadkat,30,59,9,24,25,37,7,27,122,96,127.08,120,159.46,128.57,88.89
97,JDS Neesham,0,31,0,0,2,27,0,0,31,29,106.9,0,114.81,0,0
98,JE Root,0,0,10,0,0,0,15,0,10,15,66.67,0,0,66.67,0
99,JJ Bumrah,15,0,0,12,14,9,0,12,27,35,77.14,107.14,0,0,100
100,JJ Roy,150,0,285,0,125,0,196,0,435,321,135.51,120,0,145.41,0
101,JM Bairstow,181,253,0,298,125,180,0,197,732,502,145.82,144.8,140.56,0,151.27
102,JM Sharma,0,234,309,187,0,149,205,147,730,501,145.71,0,157.05,150.73,127.21
103,JO Holder,81,58,12,0,68,46,12,0,151,126,119.84,119.12,126.09,100,0
104,JP Behrendorff,0,0,6,0,0,0,9,0,6,9,66.67,0,0,66.67,0
105,JR Hazlewood,0,18,1,0,0,27,2,0,19,29,65.52,0,66.67,50,0
106,K Gowtham,0,0,61,0,0,2,44,0,61,46,132.61,0,0,138.64,0
107,K Kartikeya,0,3,6,0,0,6,7,0,9,13,69.23,0,50,85.71,0
108,K Rabada,4,48,0,20,2,47,2,17,72,68,105.88,200,102.13,0,117.65
109,K Yadav,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
110,KA Jamieson,49,0,0,0,42,0,0,0,49,42,116.67,116.67,0,0,0
111,KA Maharaj,0,0,0,1,0,0,0,2,1,2,50,0,0,0,50
112,KA Pollard,233,144,0,0,163,146,0,0,377,309,122.01,142.94,98.63,0,0
113,KD Karthik,193,330,140,326,151,188,106,195,989,640,154.53,127.81,175.53,132.08,167.18
114,KH Pandya,121,183,188,133,110,150,172,112,625,544,114.89,110,122,109.3,118.75
115,KK Ahmed,1,0,0,0,2,2,0,0,1,4,25,50,0,0,0
116,KK Nair,0,16,0,0,0,18,0,0,16,18,88.89,0,88.89,0,0
117,KL Nagarkoti,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
118,KL Rahul,535,616,274,520,413,472,247,398,1945,1530,127.12,129.54,130.51,110.93,130.65
119,KM Asif,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
120,KM Jadhav,55,0,12,0,55,0,10,0,67,65,103.08,100,0,120,0
121,KR Mayers,0,0,379,0,0,0,276,0,379,276,137.32,0,0,137.32,0
122,KR Sen,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
123,KS Bharat,191,8,0,0,161,7,0,0,199,168,118.45,118.63,114.29,0,0
124,KS Sharma,0,4,12,0,0,4,21,0,16,25,64,0,100,57.14,0
125,KS Williamson,266,216,0,27,247,235,0,27,509,509,100,107.69,91.91,0,100
126,KV Sharma,0,0,3,31,0,0,5,16,34,21,161.9,0,0,60,193.75
127,Kartik Tyagi,2,7,0,0,4,6,0,0,9,10,90,50,116.67,0,0
128,Kuldeep Yadav,0,48,31,47,0,54,50,44,126,148,85.14,0,88.89,62,106.82
129,Kumar Kushagra,0,0,0,3,0,0,0,7,3,7,42.86,0,0,0,42.86
130,L Wood,0,0,0,9,0,0,0,3,9,3,300,0,0,0,300
131,LB Williams,0,0,0,1,0,0,0,2,1,2,50,0,0,0,50
132,LH Ferguson,18,5,0,1,13,4,0,1,24,18,133.33,138.46,125,0,100
133,LS Livingstone,42,437,279,111,43,261,175,82,869,561,154.9,97.67,167.43,159.43,135.37
134,Lalit Yadav,48,161,66,10,50,152,62,12,285,276,103.26,96,105.92,106.45,83.33
135,Liton Das,0,0,4,0,0,0,4,0,4,4,100,0,0,100,0
136,M Ashwin,15,12,0,0,24,14,0,0,27,38,71.05,62.5,85.71,0,0
137,M Jansen,0,9,39,18,0,7,45,15,66,67,98.51,0,128.57,86.67,120
138,M Markande,0,0,21,0,0,0,14,0,21,14,150,0,0,150,0
139,M Prasidh Krishna,0,6,0,0,1,12,0,0,6,13,46.15,0,50,0,0
140,M Shahrukh Khan,147,117,156,127,114,118,100,77,547,409,133.74,128.95,99.15,156,164.94
141,M Theekshana,0,7,0,0,0,7,0,0,7,7,100,0,100,0,0
142,M Vohra,21,19,10,0,20,12,11,0,50,43,116.28,105,158.33,90.91,0
143,MA Agarwal,427,196,270,64,314,167,219,59,957,759,126.09,135.99,117.37,123.29,108.47
144,MA Starc,0,0,0,9,0,0,0,11,9,11,81.82,0,0,0,81.82
145,MA Wood,0,0,11,0,0,0,5,0,11,5,220,0,0,220,0
146,MC Henriques,31,0,0,0,32,0,0,0,31,32,96.88,96.88,0,0,0
147,MD Shanaka,0,0,26,0,0,0,26,0,26,26,100,0,0,100,0
148,MG Bracewell,0,0,58,0,0,0,49,0,58,49,118.37,0,0,118.37,0
149,MJ Santner,0,22,2,14,0,30,4,18,38,52,73.08,0,73.33,50,77.78
150,MJ Suthar,0,0,0,1,0,0,0,2,1,2,50,0,0,0,50
151,MK Lomror,94,86,135,125,76,60,101,74,440,311,141.48,123.68,143.33,133.66,168.92
152,MK Pandey,193,88,160,42,159,84,149,33,483,425,113.65,121.38,104.76,107.38,127.27
153,MM Ali,303,244,124,128,235,183,92,105,799,615,129.92,128.94,133.33,134.78,121.9
154,MM Sharma,0,0,0,2,0,0,1,16,2,17,11.76,0,0,0,12.5
155,MP Stoinis,75,156,408,388,59,116,281,272,1027,728,141.07,127.12,134.48,145.2,142.65
156,MR Marsh,0,251,128,61,0,192,97,41,440,330,133.33,0,130.73,131.96,148.78
157,MS Dhoni,114,232,104,161,109,198,63,82,611,452,135.18,104.59,117.17,165.08,196.34
158,MS Wade,0,157,0,4,0,145,0,7,161,152,105.92,0,108.28,0,57.14
159,MW Short,0,0,117,0,0,0,99,0,117,99,118.18,0,0,118.18,0
160,Mandeep Singh,15,18,14,0,14,24,16,0,47,54,87.04,107.14,75,87.5,0
161,Mayank Dagar,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
162,Mohammad Nabi,20,0,0,35,9,0,0,31,55,40,137.5,222.22,0,0,112.9
163,Mohammed Shami,13,0,5,0,17,0,8,0,18,25,72,76.47,0,62.5,0
164,Mohammed Siraj,20,30,1,12,25,33,2,9,63,69,91.3,80,90.91,50,133.33
165,Mohit Rathee,0,0,1,0,0,0,2,0,1,2,50,0,0,50,0
166,Mohsin Khan,0,23,0,2,0,19,7,1,25,27,92.59,0,121.05,0,200
167,Mujeeb Ur Rahman,1,0,0,0,1,0,0,0,1,1,100,100,0,0,0
168,Mukesh Choudhary,0,6,0,0,0,6,0,0,6,6,100,0,100,0,0
169,Mukesh Kumar,0,0,7,3,0,0,10,10,10,20,50,0,0,70,30
170,Mustafizur Rahman,8,3,1,0,14,5,1,0,12,20,60,57.14,60,100,0
171,N Jagadeesan,0,40,89,0,0,40,84,0,129,124,104.03,0,100,105.95,0
172,N Pooran,85,306,358,499,76,228,217,296,1248,817,152.75,111.84,134.21,164.98,168.58
173,N Rana,246,361,413,42,221,259,303,35,1062,818,129.83,111.31,139.38,136.3,120
174,N Wadhera,0,0,241,109,0,0,171,90,350,261,134.1,0,0,140.94,121.11
175,NA Saini,2,0,0,0,5,0,0,0,2,5,40,40,0,0,0
176,NM Coulter-Nile,4,1,0,0,5,2,0,0,5,7,71.43,80,50,0,0
177,NT Ellis,18,0,1,0,17,2,7,0,19,26,73.08,105.88,0,14.29,0
178,Naman Dhir,0,0,0,140,0,0,0,84,140,84,166.67,0,0,0,166.67
179,Navdeep Saini,0,2,0,0,0,2,0,0,2,2,100,0,100,0,0
180,Naveen-ul-Haq,0,0,16,2,0,0,22,4,18,26,69.23,0,0,72.73,50
181,Nithish Kumar Reddy,0,0,0,303,0,0,0,221,303,221,137.1,0,0,0,137.1
182,Noor Ahmad,0,0,8,5,0,0,9,9,13,18,72.22,0,0,88.89,55.56
183,OC McCoy,0,8,0,0,0,5,0,0,8,5,160,0,160,0,0
184,OF Smith,0,51,0,0,0,50,0,0,51,50,102,0,102,0,0
185,P Dubey,0,0,16,0,0,0,20,0,16,20,80,0,0,80,0
186,P Simran Singh,19,14,358,334,23,11,245,216,725,495,146.46,82.61,127.27,146.12,154.63
187,PBB Rajapaksa,0,206,71,0,0,137,64,0,277,201,137.81,0,150.36,110.94,0
188,PD Salt,0,0,218,435,0,0,135,250,653,385,169.61,0,0,161.48,174
189,PJ Cummins,93,63,0,136,59,24,0,99,292,182,160.44,157.63,262.5,0,137.37
190,PJ Sangwan,0,2,0,0,0,6,0,0,2,6,33.33,0,33.33,0,0
191,PK Garg,72,46,22,0,75,33,23,0,140,131,106.87,96,139.39,95.65,0
192,PN Mankad,0,4,93,0,0,1,74,0,97,75,129.33,0,400,125.68,0
193,PP Chawla,0,0,25,15,2,0,22,15,40,39,102.56,0,0,113.64,100
194,PP Shaw,405,283,106,198,265,193,90,125,992,673,147.4,152.83,146.63,117.78,158.4
195,PVD Chameera,0,43,0,0,0,32,0,0,43,32,134.38,0,134.38,0,0
196,PWH de Silva,1,38,33,0,2,48,30,0,72,80,90,50,79.17,110,0
197,Q de Kock,295,508,143,250,255,350,103,194,1196,902,132.59,115.69,145.14,138.83,128.87
198,R Ashwin,37,191,67,86,38,140,55,76,381,309,123.3,97.37,136.43,121.82,113.16
199,R Dhawan,0,37,20,0,0,41,12,0,57,53,107.55,0,90.24,166.67,0
200,R Parag,66,183,78,573,67,136,68,407,900,678,132.74,98.51,134.56,114.71,140.79
201,R Powell,0,250,7,103,0,174,9,71,360,254,141.73,0,143.68,77.78,145.07
202,R Ravindra,0,0,0,222,0,0,0,146,222,146,152.05,0,0,0,152.05
203,R Sai Kishore,0,0,0,13,0,0,0,6,13,6,216.67,0,0,0,216.67
204,R Sanjay Yadav,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
205,R Shepherd,0,58,0,57,0,43,1,24,115,68,169.12,0,134.88,0,237.5
206,R Tewatia,134,217,87,188,129,156,61,139,626,485,129.07,103.88,139.1,142.62,135.25
207,RA Bawa,0,11,0,0,0,14,0,0,11,14,78.57,0,78.57,0,0
208,RA Jadeja,201,116,190,267,153,105,138,191,774,587,131.86,131.37,110.48,137.68,139.79
209,RA Tripathi,339,413,273,165,251,271,217,121,1190,860,138.37,135.06,152.4,125.81,136.36
210,RD Chahar,6,77,0,21,8,70,10,15,104,103,100.97,75,110,0,140
211,RD Gaikwad,630,368,590,583,465,298,411,425,2171,1599,135.77,135.48,123.49,143.55,137.18
212,RG Sharma,319,268,332,417,260,234,258,293,1336,1045,127.85,122.69,114.53,128.68,142.32
213,RJ Gleeson,0,0,0,2,0,0,0,2,2,2,100,0,0,0,100
214,RJW Topley,0,0,0,3,0,0,0,6,3,6,50,0,0,0,50
215,RK Bhui,0,0,0,3,0,0,0,9,3,9,33.33,0,0,0,33.33
216,RK Singh,0,174,474,168,0,125,333,117,816,575,141.91,0,139.2,142.34,143.59
217,RM Patidar,63,333,0,395,56,232,0,237,791,525,150.67,112.5,143.53,0,166.67
218,RP Meredith,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0
219,RR Pant,353,340,0,446,293,234,0,296,1139,823,138.4,120.48,145.3,0,150.68
