,striker,totalrunsscored,Total_batting_average,batting_strike_rate,totalballsfaced,totalwickets,economyrate,oversbowled_clean
153,MK Pandey,483,21.954545454545453,113.65,425,0,,0
154,MM Ali,799,22.194444444444443,129.92,615,25,7.03,81.1
155,MM Sharma,2,1,11.76,17,40,9.47,85.3
156,MP Stoinis,1027,27.756756756756758,141.07,728,15,9.73,41.4
157,MR Marsh,440,20.952380952380953,133.33,330,17,9.22,43.4
158,MS Dhoni,611,29.095238095238095,135.18,452,0,,0
159,MS Wade,161,14.636363636363637,105.92,152,0,,0
160,MW Short,117,19.5,118.18,99,0,,0
161,Mandeep Singh,47,6.714285714285714,87.04,54,0,,0
162,Mayank Dagar,0,0,0,1,2,9.22,23
163,Mohammad Nabi,55,7.857142857142857,137.5,40,2,10.19,16.2
164,Mohammed Shami,18,6,72,25,63,8.15,177.4
165,Mohammed Siraj,63,10.5,91.3,69,52,8.9,212.3
166,Mohit Rathee,1,,50,2,0,,0
167,Mohsin Khan,25,8.333333333333334,92.59,27,27,8.7,84.3
168,Mujeeb Ur Rahman,1,,100,1,2,7.86,4.2
169,Mukesh Choudhary,6,6,100,6,16,9.55,49.4
170,Mukesh Kumar,10,10,50,20,24,10.59,70
171,Mustafizur Rahman,12,,60,20,35,8.83,123.1
172,N Jagadeesan,129,18.428571428571427,104.03,124,0,,0
173,N Pooran,1248,32,152.75,817,0,,0
174,N Rana,1062,25.902439024390244,129.83,818,3,8.54,13
175,N Wadhera,350,23.333333333333332,134.1,261,0,,0
176,NA Saini,2,2,40,5,0,,0
177,NM Coulter-Nile,5,2.5,71.43,7,7,8.07,23.3
178,NT Ellis,19,4.75,73.08,26,18,8.79,60.5
179,Naman Dhir,140,23.333333333333332,166.67,84,0,,0
180,Navdeep Saini,2,2,100,2,6,11.69,12.4
181,Naveen-ul-Haq,18,18,69.23,26,25,9.38,67.5
182,Nithish Kumar Reddy,303,33.666666666666664,137.1,221,3,11.24,19.4
183,Noor Ahmad,13,3.25,72.22,18,24,8.29,85.3
184,OC McCoy,8,8,160,5,11,9.3,30
185,OF Smith,51,17,102,50,6,11.94,15.5
186,P Dubey,16,16,80,20,1,6.45,3.1
187,P Simran Singh,725,23.387096774193548,146.46,495,0,,0
188,PBB Rajapaksa,277,21.307692307692307,137.81,201,0,,0
189,PD Salt,653,34.36842105263158,169.61,385,0,,0
190,PJ Cummins,292,22.46153846153846,160.44,182,31,9.85,103.4
191,PJ Sangwan,2,2,33.33,6,3,7.5,9.2
192,PK Garg,140,15.555555555555555,106.87,131,0,,0
193,PN Mankad,97,32.333333333333336,129.33,75,0,,0
194,PP Chawla,40,5.714285714285714,102.56,39,36,8.55,101.4
195,PP Shaw,992,24.195121951219512,147.4,673,0,,0
196,PVD Chameera,43,10.75,134.38,32,9,9.55,49.3
197,PWH de Silva,72,7.2,90,80,35,8.38,92.5
198,Q de Kock,1196,30.666666666666668,132.59,902,0,,0
199,R Ashwin,381,17.318181818181817,123.3,309,41,7.78,218.2
200,R Dhawan,57,14.25,107.55,53,7,9.63,30
201,R Parag,900,25,132.74,678,1,13.33,10.5
202,R Powell,360,18.94736842105263,141.73,254,1,11.52,3.3
203,R Ravindra,222,22.2,152.05,146,0,,0
204,R Sai Kishore,13,13,216.67,6,13,8.41,31.5
205,R Sanjay Yadav,0,0,0,2,0,,0
206,R Shepherd,115,23,169.12,68,4,12.35,22.1
207,R Tewatia,626,22.357142857142858,129.07,485,8,9.47,41.3
208,RA Bawa,11,5.5,78.57,14,0,,0
209,RA Jadeja,774,33.65217391304348,131.86,587,46,7.58,187.2
210,RA Tripathi,1190,27.045454545454547,138.37,860,0,,0
211,RD Chahar,104,7.428571428571429,100.97,103,41,7.98,165.3
212,RD Gaikwad,2171,40.96226415,135.77,1599,0,,0
213,RG Sharma,1336,23.857142857142858,127.85,1045,0,,0
214,RJ Gleeson,2,,100,2,1,9.28,8.3
215,RJW Topley,3,,50,6,5,10.69,17.5
216,RK Bhui,3,1.5,33.33,9,0,,0
217,RK Singh,816,37.09090909090909,141.91,575,0,,0
218,RM Patidar,791,34.391304347826086,150.67,525,0,,0
219,RP Meredith,0,,0,3,18,9.7,63.2
220,RR Pant,1139,33.5,138.4,823,0,,0
221,RR Rossouw,420,28,155.56,270,0,,0
222,RV Patel,80,16,105.26,76,0,,0
223,RV Uthappa,345,23,129.21,267,0,,0
224,Rahmanullah Gurbaz,289,22.23076923076923,126.75,228,0,,0
225,Ramandeep Singh,170,28.333333333333332,160.38,106,6,9.59,7.3
226,Rashid Khan,389,18.523809523809526,157.49,247,70,7.81,224.4
227,Rasikh Salam,35,7,97.22,36,9,10.33,30
228,Ravi Bishnoi,25,3.5714285714285716,62.5,40,51,8.09,190.2
229,S Dhawan,1478,36.048780487804876,122.45,1207,0,,0
230,S Dube,1308,32.7,143.26,913,1,13.42,7.3
