,striker,runs_in_1_2021,runs_in_1_2022,runs_in_1_2023,runs_in_1_2024,runs_in_2_2021,runs_in_2_2022,runs_in_2_2023,runs_in_2_2024
197,Q de Kock,119.0,301.0,44.0,180.0,176.0,207.0,99.0,70.0
198,R Ashwin,15.0,143.0,42.0,58.0,22.0,48.0,25.0,28.0
199,R Dhawan,,12.0,20.0,,,25.0,,
200,R Parag,61.0,155.0,18.0,298.0,5.0,28.0,60.0,275.0
201,R Powell,,123.0,4.0,4.0,,127.0,3.0,99.0
202,R Ravindra,,,,79.0,,,,143.0
203,R Sai Kishore,,,,,,,,13.0
204,R Sanjay Yadav,,,,,,0.0,,
205,R Shepherd,,26.0,,40.0,,32.0,0.0,17.0
206,R Tewatia,56.0,72.0,26.0,90.0,78.0,145.0,61.0,98.0
207,RA Bawa,,11.0,,,,0.0,,
208,RA Jadeja,172.0,89.0,127.0,156.0,29.0,27.0,63.0,111.0
209,RA Tripathi,155.0,112.0,109.0,112.0,184.0,301.0,164.0,53.0
210,RD Chahar,6.0,48.0,0.0,,0.0,29.0,0.0,21.0
211,RD Gaikwad,357.0,309.0,404.0,458.0,273.0,59.0,186.0,125.0
212,RG Sharma,197.0,113.0,90.0,95.0,122.0,155.0,242.0,322.0
213,RJ Gleeson,,,,2.0,,,,
214,RJW Topley,,,,,,,,3.0
215,RK Bhui,,,,3.0,,,,0.0
216,RK Singh,,51.0,169.0,152.0,,123.0,305.0,16.0
217,RM Patidar,32.0,291.0,,285.0,31.0,42.0,,110.0
218,RP Meredith,,,,,,0.0,0.0,
219,RR Pant,167.0,138.0,,261.0,186.0,202.0,,185.0
220,RR Rossouw,,,90.0,58.0,,,119.0,153.0
221,RV Patel,7.0,,28.0,,18.0,6.0,21.0,
222,RV Uthappa,52.0,185.0,,,63.0,45.0,,
223,Rahmanullah Gurbaz,,,164.0,,,,63.0,62.0
224,Ramandeep Singh,,6.0,,125.0,,39.0,,
225,Rashid Khan,54.0,19.0,8.0,53.0,12.0,72.0,122.0,49.0
226,Rasikh Salam,,,,17.0,,7.0,,11.0
227,Ravi Bishnoi,1.0,,5.0,0.0,,0.0,15.0,4.0
228,S Dhawan,146.0,292.0,344.0,45.0,347.0,168.0,29.0,107.0
229,S Dube,84.0,211.0,272.0,270.0,121.0,78.0,146.0,126.0
230,S Gopal,7.0,,,,,9.0,,
231,S Kaul,7.0,,,,1.0,,,
232,SA Abbott,,,,,,7.0,,
233,SA Yadav,187.0,165.0,185.0,98.0,43.0,138.0,420.0,247.0
234,SB Dubey,,,,0.0,,,,33.0
235,SD Hope,,,,124.0,,,,59.0
236,SE Rutherford,,,,,,33.0,,
237,SH Johnson,,,,1.0,,,,5.0
238,SK Raina,51.0,,,,47.0,,,
239,SM Curran,13.0,,199.0,49.0,4.0,,77.0,221.0
240,SN Khan,,78.0,40.0,,0.0,13.0,13.0,
241,SN Thakur,2.0,36.0,90.0,17.0,3.0,84.0,23.0,4.0
242,SO Hetmyer,116.0,246.0,121.0,32.0,126.0,68.0,178.0,81.0
243,SP Jackson,,12.0,,,,11.0,,
244,SP Narine,9.0,19.0,13.0,393.0,53.0,52.0,8.0,95.0
245,SPD Smith,73.0,,,,79.0,,,
246,SS Iyer,93.0,104.0,,177.0,82.0,297.0,,174.0
247,SS Prabhudessai,,31.0,6.0,,,36.0,29.0,24.0
248,SS Tiwary,20.0,,,,95.0,,,
249,SV Samson,219.0,386.0,182.0,198.0,142.0,72.0,180.0,333.0
250,SW Billings,,48.0,,,,121.0,,
251,SZ Mulani,,,,,,,,1.0
252,Sachin Baby,7.0,,,,,,,
253,Sameer Rizvi,,,,36.0,,,,15.0
254,Sandeep Sharma,0.0,,2.0,,8.0,,0.0,
255,Sanvir Singh,,,4.0,8.0,,,7.0,6.0
256,Saurav Chauhan,,,,18.0,,,,0.0
257,Shahbaz Ahmed,22.0,80.0,27.0,131.0,22.0,139.0,15.0,84.0
258,Shakib Al Hasan,,,,,35.0,,,
259,Shashank Singh,,25.0,,40.0,,44.0,,314.0
260,Shivam Mavi,5.0,,,,20.0,3.0,,
261,Shivam Singh,,,,2.0,,,,
262,Shubman Gill,126.0,184.0,503.0,250.0,304.0,299.0,387.0,176.0
263,Sikandar Raza,,,33.0,,,,106.0,43.0
