,player,batting_avg_2021_innings_1,batting_avg_2021_innings_2,batting_avg_2022_innings_1,batting_avg_2022_innings_2,batting_avg_2023_innings_1,batting_avg_2023_innings_2,batting_avg_2024_innings_1,batting_avg_2024_innings_2,dismissals_2021_innings_1,dismissals_2021_innings_2,dismissals_2022_innings_1,dismissals_2022_innings_2,dismissals_2023_innings_1,dismissals_2023_innings_2,dismissals_2024_innings_1,dismissals_2024_innings_2,runs_scored_2021_innings_1,runs_scored_2021_innings_2,runs_scored_2022_innings_1,runs_scored_2022_innings_2,runs_scored_2023_innings_1,runs_scored_2023_innings_2,runs_scored_2024_innings_1,runs_scored_2024_innings_2,strike_rate_2021_innings_1,strike_rate_2021_innings_2,strike_rate_2022_innings_1,strike_rate_2022_innings_2,strike_rate_2023_innings_1,strike_rate_2023_innings_2,strike_rate_2024_innings_1,strike_rate_2024_innings_2
81,HH Pandya,7.0,32.0,77.25,25.43,37.8,26.17,18.6,17.57,5,2,4,7,5,6,5,7,35,64,309,178,189,157,93,123,89.74,128.0,125.1,127.14,145.38,126.61,127.4,151.85
82,HR Shokeen,0.0,0.0,25.0,18.0,23.0,0.0,0.0,0.0,0,0,1,1,1,0,0,0,0,0,25,18,23,0,0,0,0.0,0.0,100.0,78.26,121.05,0.0,0.0,0.0
83,HV Patel,12.0,15.5,1.67,19.0,6.0,0.0,0.0,6.5,2,2,3,2,1,1,1,2,24,31,5,38,6,0,0,13,104.35,140.91,41.67,126.67,150.0,0.0,0.0,72.22
84,Harbhajan Singh,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Harpreet Brar,61.0,3.0,10.5,1.0,11.0,6.33,34.0,41.0,0,0,2,1,3,3,1,1,61,3,21,1,33,19,34,41,103.39,150.0,91.3,50.0,137.5,105.56,178.95,102.5
86,Harpreet Singh,0.0,0.0,0.0,0.0,41.0,17.5,14.0,13.0,0,0,0,0,1,2,1,1,0,0,0,0,41,35,14,13,0.0,0.0,0.0,0.0,146.43,112.9,73.68,86.67
87,Harshit Rana,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0
88,I Sharma,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.5
89,Ishan Kishan,28.4,35.0,41.5,28.0,22.17,35.67,19.6,24.67,5,2,4,9,6,9,5,9,142,70,166,252,133,321,98,222,126.79,148.94,128.68,111.5,124.3,147.25,112.64,164.44
90,J Fraser-McGurk,0.0,0.0,0.0,0.0,0.0,0.0,33.8,40.25,0,0,0,0,0,0,5,4,0,0,0,0,0,0,169,161,0.0,0.0,0.0,0.0,0.0,0.0,228.38,211.84
