,player,batting_avg_2021_innings_1,batting_avg_2021_innings_2,batting_avg_2022_innings_1,batting_avg_2022_innings_2,batting_avg_2023_innings_1,batting_avg_2023_innings_2,batting_avg_2024_innings_1,batting_avg_2024_innings_2,dismissals_2021_innings_1,dismissals_2021_innings_2,dismissals_2022_innings_1,dismissals_2022_innings_2,dismissals_2023_innings_1,dismissals_2023_innings_2,dismissals_2024_innings_1,dismissals_2024_innings_2,runs_scored_2021_innings_1,runs_scored_2021_innings_2,runs_scored_2022_innings_1,runs_scored_2022_innings_2,runs_scored_2023_innings_1,runs_scored_2023_innings_2,runs_scored_2024_innings_1,runs_scored_2024_innings_2,strike_rate_2021_innings_1,strike_rate_2021_innings_2,strike_rate_2022_innings_1,strike_rate_2022_innings_2,strike_rate_2023_innings_1,strike_rate_2023_innings_2,strike_rate_2024_innings_1,strike_rate_2024_innings_2
238,SK Raina,10.2,23.5,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,0,51,47,0,0,0,0,0,0,102.0,127.03,0.0,0.0,0.0,0.0,0.0,0.0
239,SM Curran,13.0,4.0,0.0,0.0,39.8,15.4,16.33,31.57,1,1,0,0,5,5,3,7,13,4,0,0,199,77,49,221,216.67,100.0,0.0,0.0,126.75,137.5,100.0,122.1
240,SN Khan,0.0,0.0,39.0,13.0,20.0,6.5,0.0,0.0,0,2,2,1,2,2,0,0,0,0,78,13,40,13,0,0,0.0,0.0,150.0,76.47,93.02,68.42,0.0,0.0
241,SN Thakur,2.0,3.0,18.0,14.0,18.0,7.67,17.0,4.0,1,1,2,6,5,3,1,0,2,3,36,84,90,23,17,4,100.0,75.0,171.43,121.74,166.67,127.78,141.67,66.67
242,SO Hetmyer,19.33,126.0,49.2,34.0,40.33,35.6,32.0,20.25,6,1,5,2,3,5,1,4,116,126,246,68,121,178,32,81,139.76,180.0,140.57,147.83,128.72,160.36,160.0,155.77
243,SP Jackson,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0,0,3,1,0,0,0,0,0,0,12,11,0,0,0,0,0.0,0.0,80.0,100.0,0.0,0.0,0.0,0.0
244,SP Narine,4.5,8.83,4.75,13.0,4.33,2.0,43.67,19.0,2,6,4,4,3,4,9,5,9,53,19,52,13,8,393,95,75.0,135.9,135.71,200.0,72.22,80.0,167.95,163.79
245,SPD Smith,73.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0,0,73,79,0,0,0,0,0,0,123.73,102.6,0.0,0.0,0.0,0.0,0.0,0.0
246,SS Iyer,23.25,82.0,20.8,37.12,0.0,0.0,19.67,174.0,4,1,5,8,0,0,9,0,93,82,104,297,0,0,177,174,97.89,95.35,115.56,135.0,0.0,0.0,133.08,148.72
247,SS Prabhudessai,0.0,0.0,10.33,18.0,3.0,14.5,0.0,24.0,0,0,3,2,2,2,0,1,0,0,31,36,6,29,0,24,0.0,0.0,83.78,144.0,66.67,126.09,0.0,126.32
248,SS Tiwary,20.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,20,95,0,0,0,0,0,0,95.24,121.79,0.0,0.0,0.0,0.0,0.0,0.0
249,SV Samson,31.29,47.33,32.17,18.0,30.33,30.0,66.0,41.62,7,3,12,4,6,6,3,8,219,142,386,72,182,180,198,333,130.36,105.19,150.19,112.5,144.44,157.89,135.62,150.68
250,SW Billings,0.0,0.0,24.0,24.2,0.0,0.0,0.0,0.0,0,0,2,5,0,0,0,0,0,0,48,121,0,0,0,0,0.0,0.0,104.35,124.74,0.0,0.0,0.0,0.0
251,SZ Mulani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
252,Sachin Baby,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Sameer Rizvi,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,36,15,0.0,0.0,0.0,0.0,0.0,0.0,105.88,166.67
254,Sandeep Sharma,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0.0,133.33,0.0,0.0,33.33,0.0,0.0,0.0
255,Sanvir Singh,0.0,0.0,0.0,0.0,4.0,7.0,8.0,6.0,0,0,0,0,0,1,1,0,0,0,0,0,4,7,8,6,0.0,0.0,0.0,0.0,133.33,116.67,88.89,150.0
256,Saurav Chauhan,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0
257,Shahbaz Ahmed,7.33,11.0,26.67,27.8,27.0,5.0,26.2,21.0,3,2,3,5,1,3,5,4,22,22,80,139,27,15,131,84,100.0,110.0,103.9,115.83,128.57,75.0,132.32,113.51
258,Shakib Al Hasan,0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
259,Shashank Singh,0.0,0.0,25.0,11.0,0.0,0.0,13.33,62.8,0,0,0,4,0,0,3,5,0,0,25,44,0,0,40,314,0.0,0.0,416.67,107.32,0.0,0.0,121.21,163.54
260,Shivam Mavi,5.0,20.0,0.0,1.5,0.0,0.0,0.0,0.0,1,1,0,2,0,0,0,0,5,20,0,3,0,0,0,0,71.43,142.86,0.0,37.5,0.0,0.0,0.0,0.0
261,Shivam Singh,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0
262,Shubman Gill,25.2,30.4,30.67,37.38,71.86,48.38,50.0,29.33,5,10,6,8,7,8,5,6,126,304,184,299,503,387,250,176,107.69,116.48,134.31,126.16,167.67,137.23,154.32,132.33
263,Sikandar Raza,0.0,0.0,0.0,0.0,11.0,53.0,0.0,21.5,0,0,0,0,3,2,0,2,0,0,0,0,33,106,0,43,0.0,0.0,0.0,0.0,110.0,143.24,0.0,110.26
264,Simarjeet Singh,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0.0,0.0,83.33,100.0,0.0,0.0,0.0,0.0
265,Sumit Kumar,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,16,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0
266,Swapnil Singh,0.0,0.0,0.0,0.0,0.0,2.0,11.0,15.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,22,15,0.0,0.0,0.0,0.0,0.0,50.0,169.23,166.67
267,T Kohler-Cadmore,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,18,30,0.0,0.0,0.0,0.0,0.0,0.0,78.26,96.77
268,T Shamsi,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
269,T Stubbs,0.0,0.0,0.0,1.0,12.5,0.0,45.25,65.67,0,0,0,2,2,0,4,3,0,0,0,2,25,0,181,197,0.0,0.0,0.0,50.0,80.65,0.0,184.69,185.85
270,TA Boult,1.0,0.0,20.0,0.0,15.0,1.0,12.0,2.0,0,0,2,0,1,0,1,1,1,0,40,0,15,1,12,2,100.0,0.0,133.33,0.0,107.14,33.33,133.33,28.57
271,TG Southee,0.0,3.0,0.33,1.0,0.0,0.0,0.0,0.0,0,1,3,1,0,0,0,0,0,3,1,1,0,0,0,0,0.0,60.0,10.0,50.0,0.0,0.0,0.0,0.0
272,TH David,1.0,0.0,56.0,32.5,11.83,53.33,38.0,25.4,1,0,1,4,6,3,3,5,1,0,56,130,71,160,114,127,33.33,0.0,186.67,213.11,109.23,177.78,135.71,151.19
273,TK Curran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,TL Seifert,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1,0,0,2,0,0,0,0,2,0,0,24,0,0,0,0,40.0,0.0,0.0,114.29,0.0,0.0,0.0,0.0
275,TM Head,0.0,0.0,0.0,0.0,0.0,0.0,43.3,33.5,0,0,0,0,0,0,10,4,0,0,0,0,0,0,433,134,0.0,0.0,0.0,0.0,0.0,0.0,178.93,206.15
276,TS Mills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,TU Deshpande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Tanush Kotian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
279,Tilak Varma,0.0,0.0,44.0,33.12,56.33,34.8,36.0,45.33,0,0,3,8,3,5,4,6,0,0,132,265,169,174,144,272,0.0,0.0,125.71,127.4,145.69,158.18,126.32,153.67
280,UT Yadav,0.0,0.0,19.0,12.0,9.0,10.0,0.0,12.0,0,0,1,3,1,1,0,1,0,0,19,36,9,10,0,12,0.0,0.0,135.71,133.33,128.57,76.92,0.0,80.0
281,Umran Malik,0.0,0.0,0.0,4.0,0.0,19.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,4,0,19,0,0,0.0,0.0,0.0,57.14,0.0,237.5,0.0,0.0
282,V Kohli,27.14,29.8,21.62,24.0,47.0,65.75,67.14,54.2,7,5,8,7,8,4,7,5,190,149,173,168,376,263,470,271,113.77,123.14,101.17,124.44,127.46,147.75,142.42,162.28
283,V Shankar,0.0,14.67,7.5,2.0,46.0,34.83,12.0,19.67,0,3,2,2,2,6,2,3,0,44,15,4,92,209,24,59,0.0,110.0,55.56,44.44,173.58,143.15,104.35,113.46
284,V Viyaskanth,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0
285,VG Arora,0.0,0.0,2.5,0.0,2.0,1.0,1.0,0.0,0,0,2,0,0,0,0,0,0,0,5,0,2,1,1,0,0.0,0.0,35.71,0.0,200.0,100.0,100.0,0.0
286,VR Iyer,41.0,41.17,14.4,18.33,30.43,27.29,27.29,179.0,3,6,5,6,7,7,7,1,123,247,72,110,213,191,191,179,119.42,126.02,98.63,107.84,139.22,141.48,149.22,162.73
287,Vijaykumar Vyshak,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,0,1,0.0,0.0,0.0,0.0,0.0,144.44,0.0,50.0
288,Virat Singh,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0.0,57.69,0.0,0.0,0.0,0.0,0.0,0.0
289,Vishnu Vinod,0.0,0.0,0.0,0.0,30.0,3.5,0.0,0.0,0,0,0,0,1,2,0,0,0,0,0,0,30,7,0,0,0.0,0.0,0.0,0.0,150.0,58.33,0.0,0.0
290,Vivrant Sharma,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,69,0,0,0,0.0,0.0,0.0,0.0,140.82,0.0,0.0,0.0
291,WD Parnell,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0
292,WG Jacks,0.0,0.0,0.0,0.0,0.0,0.0,16.75,54.33,0,0,0,0,0,0,4,3,0,0,0,0,0,0,67,163,0.0,0.0,0.0,0.0,0.0,0.0,128.85,201.23
293,WP Saha,18.0,17.0,20.5,39.17,28.12,18.25,7.6,24.5,4,3,4,6,8,8,5,4,72,51,82,235,225,146,38,98,98.63,91.07,106.49,124.34,130.06,117.74,74.51,142.03
294,Washington Sundar,6.0,7.0,12.33,16.0,12.5,17.5,0.0,0.0,1,1,3,4,2,2,1,0,6,7,37,64,25,35,0,0,66.67,63.64,105.71,156.1,71.43,129.63,0.0,0.0
295,YBK Jaiswal,28.67,19.25,15.71,49.33,53.43,41.83,16.2,39.33,6,4,7,3,7,6,5,9,172,77,110,148,374,251,81,354,139.84,171.11,113.4,146.53,171.56,140.22,126.56,158.04
296,YS Chahal,2.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,8,0,5,0,0,0,0,33.33,38.1,0.0,62.5,0.0,0.0,0.0,0.0
297,YV Dhull,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0,0,0,0,1,2,0,0,0,0,0,0,2,14,0,0,0.0,0.0,0.0,0.0,50.0,73.68,0.0,0.0
298,Yash Dayal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Yudhvir Singh,0.0,0.0,0.0,0.0,0.5,0.0,0.0,10.5,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,21,0.0,0.0,0.0,0.0,50.0,0.0,0.0,150.0
