,striker,U_n_n,m_a_t,s_e_a,s_t_a,v_e_n,i_n_n,b_a_l,b_a_t,b_o_w,s_t_r,n_o_n,b_o_w,r_u_n,e_x_t,w_i_d,n_o_b,b_y_e,l_e_g,p_e_n,w_i_c,p_l_a,o_t_h,o_t_h,t_o_t,y_e_a
281,281,UT Yadav,,,1.3571428571428572,1.3333333333333333,1.2857142857142858,0.7692307692307693,,0.8,,,19.0,36.0,9.0,10.0,,12.0,,,135.71428571428572,133.33333333333331,128.57142857142858,76.92307692307693,,80.0
282,282,Umran Malik,,,0.0,0.5714285714285714,,2.375,,,,,0.0,4.0,,19.0,,,,,0.0,57.14285714285714,,237.5,,
283,283,V Kohli,1.1377245508982037,1.2314049586776858,1.0116959064327486,1.2444444444444445,1.2745762711864406,1.4775280898876404,1.4242424242424243,1.622754491017964,190.0,149.0,173.0,168.0,376.0,263.0,470.0,271.0,113.77245508982035,123.14049586776858,101.16959064327486,124.44444444444444,127.45762711864406,147.75280898876403,142.42424242424244,162.2754491017964
284,284,V Shankar,,1.1,0.5555555555555556,0.4444444444444444,1.7358490566037736,1.4315068493150684,1.0434782608695652,1.1346153846153846,,44.0,15.0,4.0,92.0,209.0,24.0,59.0,,110.0,55.55555555555556,44.44444444444444,173.58490566037736,143.15068493150685,104.34782608695652,113.46153846153844
285,285,V Viyaskanth,,,,,,,1.4,,,,,,,,7.0,,,,,,,,140.0,
286,286,VG Arora,,,0.3571428571428571,,2.0,1.0,1.0,,,,5.0,,2.0,1.0,1.0,,,,35.714285714285715,,200.0,100.0,100.0,
287,287,VR Iyer,1.194174757281553,1.260204081632653,0.9863013698630136,1.0784313725490196,1.392156862745098,1.4148148148148147,1.4921875,1.6272727272727272,123.0,247.0,72.0,110.0,213.0,191.0,191.0,179.0,119.41747572815532,126.0204081632653,98.63013698630137,107.84313725490196,139.2156862745098,141.48148148148147,149.21875,162.72727272727272
288,288,Vijaykumar Vyshak,,,,,0.0,1.4444444444444444,0.0,0.5,,,,,0.0,13.0,0.0,1.0,,,,,0.0,144.44444444444443,0.0,50.0
289,289,Virat Singh,,0.5769230769230769,,,,,,,,15.0,,,,,,,,57.692307692307686,,,,,,
290,290,Vishnu Vinod,,,,,1.5,0.5833333333333334,,,,,,,30.0,7.0,,,,,,,150.0,58.333333333333336,,
291,291,Vivrant Sharma,,,,,1.4081632653061225,,,,,,,,69.0,,,,,,,,140.81632653061226,,,
292,292,WD Parnell,,,,,,0.3333333333333333,,,,,,,,2.0,,,,,,,,33.33333333333333,,
293,293,WG Jacks,,,,,,,1.2884615384615383,2.0123456790123457,,,,,,,67.0,163.0,,,,,,,128.84615384615387,201.23456790123456
294,294,WP Saha,0.9863013698630136,0.9107142857142856,1.0649350649350648,1.2433862433862437,1.300578034682081,1.1774193548387095,0.7450980392156863,1.420289855072464,72.0,51.0,82.0,235.0,225.0,146.0,38.0,98.0,98.63013698630137,91.07142857142856,106.49350649350647,124.33862433862434,130.0578034682081,117.74193548387098,74.50980392156863,142.02898550724638
295,295,Washington Sundar,0.6666666666666666,0.6363636363636364,1.0571428571428572,1.5609756097560976,0.7142857142857143,1.2962962962962965,0.0,,6.0,7.0,37.0,64.0,25.0,35.0,0.0,,66.66666666666666,63.63636363636363,105.71428571428572,156.09756097560975,71.42857142857143,129.62962962962962,0.0,
296,296,YBK Jaiswal,1.3983739837398377,1.711111111111111,1.134020618556701,1.465346534653465,1.7155963302752293,1.4022346368715084,1.265625,1.5803571428571428,172.0,77.0,110.0,148.0,374.0,251.0,81.0,354.0,139.83739837398377,171.11111111111111,113.4020618556701,146.53465346534654,171.55963302752292,140.22346368715085,126.5625,158.03571428571428
297,297,YS Chahal,0.3333333333333333,0.3809523809523809,,0.625,,,,,2.0,8.0,,5.0,,,,,33.33333333333333,38.095238095238095,,62.5,,,,
298,298,YV Dhull,,,,,0.5,0.7368421052631579,,,,,,,2.0,14.0,,,,,,,50.0,73.68421052631578,,
299,299,Yash Dayal,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,
300,300,Yudhvir Singh,,,,,0.5,,,1.5,,,,,1.0,,,21.0,,,,,50.0,,,150.0
